P3 Star,1607
SR Extra01,2383
P2,163
SR Extra10,3269
P3 Rockster,1604
P4 Värmland,204
P4 Skaraborg,208
P4 Jämtland,200
SR Extra03,2385
P3,164
P4 Sörmland,202
P4 Västernorrland,216
SR Extra07,2389
P4 Kalmar,201
SR Atlas,2618
SR C,1265
P4 Kristianstad,211
P4 Gotland,205
P4 Örebro,221
SR Extra02,2384
P4 Väst,219
P4 Blekinge,213
P4 Radiosporten,179
P4,158
P4 Kronoberg,214
P2 Musik,2562
P4 Västmanland,217
P4 Norrbotten,209
SR Sápmi,224
SR Extra11,3036
P4 Sjuhärad,206
P1,132
P4 Malmöhus,207
Metropol,2842
SR Minnen,1602
P4 Halland,220
SR Klassiskt,1603
SR Extra09,3268
SR Extra06,2388
P3 Svea,1605
P4 Jönköping,203
SR Melodifest,2521
SR Världen,2619
SR Extra08,2390
P4 Östergötland,222
P4 Västerbotten,215
P4 Uppland,218
Din gata,2576
SR Extra04,2386
P3 Street,1606
SR Extra05,2387
Radioapans knattekanal,2755
P4 Stockholm,701
P4 Gävleborg,210
P4 Göteborg,212
SR Sisuradio,226
P4 Dalarna,223
